ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-219,Ethiopia,1,12/31/1994,12/31/1995,8.6267033,39.63755417
1-219,Ethiopia,1,12/31/1998,NULL,8.6267033,39.63755417
1-22,Paraguay,1,3/31/1947,8/21/1947,-23.24029,-58.3951721
1-22,Paraguay,1,5/5/1954,5/5/1954,-23.24029,-58.3951721
1-22,Paraguay,1,2/3/1989,2/3/1989,-23.24029,-58.3951721
1-220,Russia (Soviet Union),0,9/2/1999,9/24/1999,63.125187,103.7539825
1-221,Uzbekistan,0,3/30/1999,10/1/2000,41.772392,63.14588928
1-221,Uzbekistan,0,3/30/2004,7/30/2004,41.772392,63.14588928
1-222,Central African Republic,0,6/1/2001,12/19/2002,6.5741234,20.48692322
1-222,Central African Republic,0,11/28/2006,12/1/2006,6.5741234,20.48692322
1-222,Central African Republic,0,12/7/2009,NULL,6.5741234,20.48692322
1-223,"Macedonia, FYR",0,5/31/2001,8/13/2001,41.600456,21.70089531
1-224,United States of America,1,9/11/2001,NULL,39.443256,-98.9573364
1-225,Ivory Coast,0,9/20/2002,11/9/2004,7.5987554,-5.55257463
1-225,Ivory Coast,0,3/13/2011,4/27/2011,7.5987554,-5.55257463
1-226,"Australia, Iraq, United Kingdom, United States of America",1,3/22/2003,4/9/2003,-25.585241,134.5041199
1-227,India,0,10/10/1989,12/31/1990,23.406012,79.45809174
1-227,India,0,12/31/1993,10/15/2004,23.406012,79.45809174
1-227,India,0,6/12/2009,11/8/2010,23.406012,79.45809174
1-227,India,0,12/11/2013,NULL,23.406012,79.45809174
1-228,Myanmar (Burma),0,3/16/1997,7/15/1997,20.330143,96.52182007
1-23,Myanmar (Burma),1,1/15/1949,11/22/1992,20.330143,96.52182007
1-23,Myanmar (Burma),1,12/31/1994,7/13/1995,20.330143,96.52182007
1-23,Myanmar (Burma),1,2/23/1997,7/14/1998,20.330143,96.52182007
1-23,Myanmar (Burma),1,3/3/2000,12/31/2011,20.330143,96.52182007
1-23,Myanmar (Burma),1,4/29/2013,NULL,20.330143,96.52182007
1-24,Myanmar (Burma),1,2/29/1948,12/31/1988,20.330143,96.52182007
1-24,Myanmar (Burma),1,12/31/1990,12/31/1992,20.330143,96.52182007
1-24,Myanmar (Burma),1,12/31/1994,12/31/1994,20.330143,96.52182007
1-248,Thailand,0,10/27/2003,NULL,14.484582,100.8519135
1-248,Thailand,1,10/27/2003,NULL,14.484582,100.8519135
1-249,Nigeria,0,9/23/2004,10/8/2004,9.5595055,8.077880859
1-25,Myanmar (Burma),0,1/31/1948,11/15/1961,20.330143,96.52182007
1-25,Myanmar (Burma),0,12/31/1964,12/31/1978,20.330143,96.52182007
1-25,Myanmar (Burma),0,12/29/1991,12/29/1991,20.330143,96.52182007
1-25,Myanmar (Burma),0,5/15/1994,6/23/1994,20.330143,96.52182007
1-250,Nigeria,0,6/4/2004,9/20/2004,9.5595055,8.077880859
1-251,Israel,0,7/10/1990,12/31/1999,31.814194,34.75337219
1-251,Israel,1,7/13/2006,8/14/2006,31.814194,34.75337219
1-252,"Tanzania, Uganda",0,11/15/1978,11/16/1978,-6.3068972,34.85392761
1-253,Mauritania,0,12/19/1975,NULL,20.258995,-10.3644371
